State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh","East Godavari",Ambajipeta,Banana,"Banana - Ripe",Medium,25/10/2025,1040,2080,1560
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Cauliflower,Cauliflower,FAQ,25/10/2025,3500,5500,5000
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Lemon,Other,FAQ,25/10/2025,2000,3000,2500
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),"Peas Wet",Other,FAQ,25/10/2025,10000,14000,12000
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,25/10/2025,400,2200,1500
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,25/10/2025,800,2000,1600
Gujarat,Amreli,Damnagar,Guar,Gwar,FAQ,25/10/2025,7050,8050,7600
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)",Cabbage,Other,FAQ,25/10/2025,1000,1500,1000
Gujarat,"Chhota Udaipur",Kalediya,Cotton,"Shanker 6 (B) 30mm FIne",FAQ,25/10/2025,7050,7225,7150
Gujarat,Surendranagar,Vadhvan,Amaranthus,Amaranthus,FAQ,25/10/2025,500,1000,750
Gujarat,Surendranagar,Vadhvan,"Bottle gourd","Bottle Gourd",FAQ,25/10/2025,500,1000,750
Gujarat,Surendranagar,Vadhvan,Cauliflower,Cauliflower,FAQ,25/10/2025,4000,4500,4250
Gujarat,Surendranagar,Vadhvan,Coriander(Leaves),Coriander,FAQ,25/10/2025,5500,6000,5750
Gujarat,Surendranagar,Vadhvan,Cucumbar(Kheera),Cucumbar,FAQ,25/10/2025,1000,2000,1500
Gujarat,Surendranagar,Vadhvan,Garlic,Garlic,FAQ,25/10/2025,6000,7000,6500
Gujarat,Surendranagar,Vadhvan,Lemon,Lemon,FAQ,25/10/2025,2500,3000,2750
Gujarat,Surendranagar,Vadhvan,Tinda,Tinda,FAQ,25/10/2025,3500,4000,3750
Haryana,Gurgaon,Gurgaon,"Bottle gourd","Bottle Gourd",FAQ,25/10/2025,1000,2000,1500
Haryana,Gurgaon,Gurgaon,Brinjal,Brinjal,FAQ,25/10/2025,1000,2000,1500
Haryana,Gurgaon,Gurgaon,Cabbage,Other,FAQ,25/10/2025,1000,2000,1500
Haryana,Gurgaon,Gurgaon,Onion,Other,FAQ,25/10/2025,1000,1500,1250
Haryana,Kurukshetra,Babain,Paddy(Dhan)(Common),"Paddy fine",FAQ,25/10/2025,2389,2389,2389
Haryana,Palwal,Hodal,Banana,Other,Medium,25/10/2025,1800,2000,1900
Haryana,Palwal,Hodal,Cucumbar(Kheera),Cucumbar,FAQ,25/10/2025,1000,1500,1200
Haryana,Rewari,Kosli,Cucumbar(Kheera),Other,FAQ,25/10/2025,2000,2000,2000
Haryana,Sonipat,Ganaur,Carrot,Carrot,FAQ,25/10/2025,3500,4000,3800
Haryana,Sonipat,Ganaur,Methi(Leaves),Methi,FAQ,25/10/2025,1800,2000,1800
Haryana,Sonipat,Ganaur,"Mousambi(Sweet Lime)",Mousambi,Medium,25/10/2025,2800,3000,2800
Haryana,Sonipat,Ganaur,Pumpkin,Pumpkin,FAQ,25/10/2025,1400,1500,1400
Haryana,Sonipat,Ganaur,Spinach,Spinach,FAQ,25/10/2025,1800,2000,1800
Haryana,"Yamuna Nagar",Chhachrauli,Apple,Apple,Medium,25/10/2025,2800,2800,2800
Haryana,"Yamuna Nagar",Chhachrauli,Brinjal,Brinjal,FAQ,25/10/2025,1900,1900,1900
Haryana,"Yamuna Nagar",Chhachrauli,"Green Chilli","Green Chilly",FAQ,25/10/2025,3800,3800,3800
Haryana,"Yamuna Nagar",Sadhaura,Banana,"Banana - Ripe",Large,25/10/2025,1700,2000,1800
Haryana,"Yamuna Nagar",Sadhaura,"Bottle gourd","Bottle Gourd",FAQ,25/10/2025,1600,1800,1700
Haryana,"Yamuna Nagar",Sadhaura,Onion,Onion,FAQ,25/10/2025,1400,1600,1500
Haryana,"Yamuna Nagar",Sadhaura,Potato,Other,FAQ,25/10/2025,800,1000,900
"Himachal Pradesh",Bilaspur,Bilaspur,Colacasia,Other,FAQ,25/10/2025,3000,4200,3500
"Himachal Pradesh",Kangra,Dharamshala,Apple,Other,Medium,25/10/2025,5000,5500,5250
"Himachal Pradesh",Kangra,Dharamshala,Banana,Other,Medium,25/10/2025,4000,4500,4250
"Himachal Pradesh",Kangra,Dharamshala,Cabbage,Other,FAQ,25/10/2025,4000,4500,4250
"Himachal Pradesh",Kangra,Dharamshala,Potato,Other,FAQ,25/10/2025,1400,2500,1900
"Himachal Pradesh",Kangra,Dharamshala,Tomato,Other,FAQ,25/10/2025,2300,2800,2500
"Himachal Pradesh",Kangra,Kangra(Baijnath),Banana,"Banana - Ripe",Medium,25/10/2025,3000,3600,3400
"Himachal Pradesh",Kangra,Kangra(Baijnath),Cabbage,Cabbage,FAQ,25/10/2025,3800,4200,4000
"Himachal Pradesh",Kangra,Kangra(Baijnath),Coriander(Leaves),Coriander,FAQ,25/10/2025,30000,32000,30000
"Himachal Pradesh",Kangra,Kangra(Baijnath),Cucumbar(Kheera),Cucumbar,FAQ,25/10/2025,2400,2600,2500
"Himachal Pradesh",Kangra,Kangra(Baijnath),"Indian Colza(Sarson)","Indian Colza(Sarson)",FAQ,25/10/2025,2800,3000,3000
"Himachal Pradesh",Kangra,Kangra(Baijnath),Papaya,Other,Medium,25/10/2025,3500,3600,3600
"Himachal Pradesh",Kangra,Kangra(Baijnath),Potato,Potato,FAQ,25/10/2025,1700,2400,1800
"Himachal Pradesh",Kangra,Kangra(Baijnath),Tomato,Tomato,FAQ,25/10/2025,2500,2600,2600
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),Methi(Leaves),Methi,FAQ,25/10/2025,4500,5000,4700
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),Onion,"1st Sort",FAQ,25/10/2025,2000,2200,2100
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),Orange,Medium,Medium,25/10/2025,9500,10000,9700
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),"Peas Wet","Peas Wet",FAQ,25/10/2025,16000,17000,16500
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Apple,American,Medium,25/10/2025,3000,7000,5000
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)","French Beans (Frasbean)","French Beans (Frasbean)",FAQ,25/10/2025,8000,9000,8500
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Lemon,Lemon,FAQ,25/10/2025,5000,6000,5500
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Onion,Other,FAQ,25/10/2025,1800,2000,1800
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Raddish,Other,FAQ,25/10/2025,1500,3000,2400
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Spinach,Other,FAQ,25/10/2025,5000,5500,5200
"Himachal Pradesh",Kangra,Palampur,Apple,"Kullu Royal Delicious",Medium,25/10/2025,5000,12000,9000
"Himachal Pradesh",Kangra,Palampur,Beetroot,Beetroot,FAQ,25/10/2025,4800,5000,4900
"Himachal Pradesh",Kangra,Palampur,"Bitter gourd",Other,FAQ,25/10/2025,4800,5000,4900
"Himachal Pradesh",Kangra,Palampur,Lemon,Other,FAQ,25/10/2025,5800,6000,5900
"Himachal Pradesh",Kangra,Palampur,Pumpkin,Other,FAQ,25/10/2025,1800,2000,1900
"Jammu and Kashmir",Rajouri,"Rajouri (F&V)","Bhindi(Ladies Finger)",Other,FAQ,25/10/2025,6500,6700,6600
"Jammu and Kashmir",Rajouri,"Rajouri (F&V)",Guava,Other,Small,25/10/2025,8500,8700,8600
"Jammu and Kashmir",Rajouri,"Rajouri (F&V)",Tomato,Other,Non-FAQ,25/10/2025,3000,3200,3100
Kerala,Alappuzha,Aroor,Amphophalus,Amphophalus,FAQ,25/10/2025,4600,4800,4700
Kerala,Alappuzha,Aroor,Beetroot,Other,FAQ,25/10/2025,5000,5200,5100
Kerala,Alappuzha,Aroor,"Bhindi(Ladies Finger)",Other,FAQ,25/10/2025,4200,4400,4300
Kerala,Alappuzha,Aroor,"Green Chilli",Other,FAQ,25/10/2025,5500,5700,5600
Kerala,Alappuzha,Aroor,Onion,Big,FAQ,25/10/2025,2300,2500,2400
Kerala,Alappuzha,Aroor,Snakeguard,Other,FAQ,25/10/2025,4500,4700,4600
Kerala,Alappuzha,Chengannur,Amphophalus,Other,FAQ,25/10/2025,3800,4100,4000
Kerala,Alappuzha,Chengannur,"Banana - Green","Banana - Green",FAQ,25/10/2025,2900,3200,3000
Kerala,Alappuzha,Chengannur,Brinjal,Brinjal,FAQ,25/10/2025,4500,4800,4600
Kerala,Alappuzha,Chengannur,Drumstick,Other,FAQ,25/10/2025,7000,7800,7500
Kerala,Alappuzha,Chengannur,Garlic,Garlic,FAQ,25/10/2025,0,0,10000
Kerala,Alappuzha,Chengannur,Onion,Onion,FAQ,25/10/2025,1800,2100,2000
Kerala,Alappuzha,Chengannur,Pumpkin,Other,FAQ,25/10/2025,2400,2700,2500
Kerala,Ernakulam,"North Paravur",Ashgourd,Ashgourd,FAQ,25/10/2025,2500,3000,2800
Kerala,Ernakulam,"North Paravur",Beetroot,Beetroot,FAQ,25/10/2025,4000,5000,4500
Kerala,Ernakulam,"North Paravur","Bhindi(Ladies Finger)",Bhindi,FAQ,25/10/2025,2500,3000,2800
Kerala,Ernakulam,"North Paravur","Bitter gourd","Bitter Gourd",FAQ,25/10/2025,4000,5000,4500
Kerala,Ernakulam,"North Paravur",Capsicum,Capsicum,FAQ,25/10/2025,5500,6500,6000
Kerala,Ernakulam,"North Paravur",Coconut,Big,FAQ,25/10/2025,7600,8000,7800
Kerala,Ernakulam,"North Paravur","French Beans (Frasbean)","French Beans (Frasbean)",FAQ,25/10/2025,5500,6000,5800
Kerala,Ernakulam,"North Paravur",Lemon,Lemon,FAQ,25/10/2025,5500,6500,6000
Kerala,Ernakulam,"North Paravur","Little gourd (Kundru)","Little gourd (Kundru)",FAQ,25/10/2025,3500,4000,3800
Kerala,Ernakulam,"North Paravur","Mango (Raw-Ripe)","Mango - Raw-Ripe",FAQ,25/10/2025,5500,6500,6000
Kerala,Ernakulam,"North Paravur",Ridgeguard(Tori),Other,FAQ,25/10/2025,4000,5000,4500
Kerala,Ernakulam,Perumbavoor,Amaranthus,Amaranthus,FAQ,25/10/2025,2400,3400,2800
Kerala,Ernakulam,Perumbavoor,Arecanut(Betelnut/Supari),Supari,FAQ,25/10/2025,34500,35500,35000
Kerala,Ernakulam,Perumbavoor,"Indian Beans (Seam)","Indian Beans (Seam)",FAQ,25/10/2025,6700,7700,7000
Kerala,Ernakulam,Perumbavoor,Lemon,Lemon,FAQ,25/10/2025,8000,9200,8500
Kerala,Ernakulam,Perumbavoor,"Mango (Raw-Ripe)","Mango - Raw-Ripe",FAQ,25/10/2025,5700,6700,6000
Kerala,Ernakulam,Thrippunithura,"Bhindi(Ladies Finger)",Bhindi,FAQ,25/10/2025,4500,5600,4700
Kerala,Ernakulam,Thrippunithura,Cucumbar(Kheera),Cucumbar,FAQ,25/10/2025,3000,4000,3200
Kerala,Ernakulam,Thrippunithura,"Leafy Vegetable",Other,FAQ,25/10/2025,6000,8000,6200
Kerala,Ernakulam,Thrippunithura,Snakeguard,Snakeguard,FAQ,25/10/2025,4000,5400,4200
Kerala,Kollam,Kottarakkara,Colacasia,Other,FAQ,25/10/2025,6500,7500,7000
Kerala,Kollam,Kottarakkara,Drumstick,Drumstick,FAQ,25/10/2025,5000,6000,6000
Kerala,Kollam,Kottarakkara,Snakeguard,Other,FAQ,25/10/2025,4000,4500,4500
Kerala,Kollam,Kottarakkara,Tomato,Other,FAQ,25/10/2025,4000,5000,4500
Kerala,Kottayam,Kuruppanthura,Amphophalus,Amphophalus,FAQ,25/10/2025,7000,7000,7000
Kerala,Kottayam,Kuruppanthura,"Banana - Green","Banana - Green",FAQ,25/10/2025,3500,4000,4000
Kerala,Kottayam,Kuruppanthura,Brinjal,Brinjal,FAQ,25/10/2025,5000,6000,5500
Kerala,Kottayam,Kuruppanthura,Carrot,Carrot,FAQ,25/10/2025,7000,8000,7500
Kerala,Kottayam,Kuruppanthura,Cowpea(Veg),"Cowpea (Veg)",FAQ,25/10/2025,5400,7000,6000
Kerala,Kottayam,Kuruppanthura,Potato,Potato,FAQ,25/10/2025,4000,5000,4500
Kerala,Kozhikode(Calicut),Mukkom,Apple,Other,Large,25/10/2025,11000,12000,11500
Kerala,Kozhikode(Calicut),Mukkom,Brinjal,Brinjal,FAQ,25/10/2025,3200,3400,3300
Kerala,Kozhikode(Calicut),Mukkom,Carrot,Carrot,FAQ,25/10/2025,6300,6700,6500
Kerala,Kozhikode(Calicut),Mukkom,Cowpea(Veg),"Cowpea (Veg)",FAQ,25/10/2025,5600,5800,5790
Kerala,Kozhikode(Calicut),Mukkom,Pineapple,Other,Large,25/10/2025,8800,9200,9000
Kerala,Kozhikode(Calicut),Mukkom,Potato,Other,FAQ,25/10/2025,2600,3000,2800
Kerala,Kozhikode(Calicut),Mukkom,Snakeguard,Snakeguard,FAQ,25/10/2025,3200,3500,3400
Kerala,Kozhikode(Calicut),Vengeri(Kozhikode),"Bitter gourd","Bitter Gourd",FAQ,25/10/2025,2600,2900,2900
Kerala,Kozhikode(Calicut),Vengeri(Kozhikode),"Bottle gourd","Bottle Gourd",FAQ,25/10/2025,2000,2300,2300
Kerala,Kozhikode(Calicut),Vengeri(Kozhikode),Cowpea(Veg),"Cowpea (Veg)",FAQ,25/10/2025,4200,4500,4500
Kerala,Malappuram,Thirurrangadi,Carrot,Other,FAQ,25/10/2025,5800,5800,5800
Kerala,Thiruvananthapuram,Neyyatinkara,"Banana - Green","Banana - Green",FAQ,25/10/2025,4500,5000,4700
Kerala,Thiruvananthapuram,Neyyatinkara,Carrot,Other,FAQ,25/10/2025,5300,6000,5700
Kerala,Thiruvananthapuram,Neyyatinkara,"Green Chilli","Green Chilly",FAQ,25/10/2025,7300,8000,7800
Kerala,Thiruvananthapuram,Neyyatinkara,Snakeguard,Other,FAQ,25/10/2025,5300,6000,5700
Kerala,Thiruvananthapuram,Parassala,Pineapple,"Pine Apple",Medium,25/10/2025,5000,5500,5000
Kerala,Wayanad,"Sultan bathery","Banana - Green","Banana - Green",FAQ,25/10/2025,1695,1700,1700
"Madhya Pradesh",Shivpuri,Karera(F&V),Cauliflower,Cauliflower,FAQ,25/10/2025,3000,3500,3200
"Madhya Pradesh",Shivpuri,Karera(F&V),Cucumbar(Kheera),Cucumbar,FAQ,25/10/2025,1000,1500,1300
"Madhya Pradesh",Shivpuri,Karera(F&V),Onion,Onion,FAQ,25/10/2025,1000,1600,1500
"Madhya Pradesh",Shivpuri,Karera(F&V),Spinach,Other,FAQ,25/10/2025,1000,1700,1400
Odisha,Bargarh,Attabira,Paddy(Dhan)(Common),Other,FAQ,25/10/2025,2300,2320,2300
Odisha,Cuttack,Banki,"Bhindi(Ladies Finger)",Bhindi,FAQ,25/10/2025,3000,3400,3200
Odisha,Jagatsinghpur,Jagatsinghpur,Potato,Potato,FAQ,25/10/2025,2000,2030,2020
Odisha,Malkangiri,Malkanagiri,Banana,Other,Large,25/10/2025,4000,4000,4000
Odisha,Malkangiri,Malkangiri(Korakunda),"Bottle gourd",Other,FAQ,25/10/2025,2400,2400,2400
Odisha,Malkangiri,Malkangiri(Korakunda),Brinjal,Other,FAQ,25/10/2025,2000,2000,2000
Odisha,Sundergarh,Panposh,"Bitter gourd",Other,FAQ,25/10/2025,4000,4500,4300
Odisha,Sundergarh,Panposh,Cauliflower,Other,FAQ,25/10/2025,3000,3500,3200
Punjab,Bhatinda,"Talwandi Sabo",Brinjal,Other,FAQ,25/10/2025,1000,1500,1200
Punjab,Bhatinda,"Talwandi Sabo","Green Chilli",Other,FAQ,25/10/2025,3000,3500,3200
Punjab,Hoshiarpur,"Garh Shankar",Banana,Medium,Medium,25/10/2025,2300,3000,2500
Punjab,Hoshiarpur,"Garh Shankar",Cucumbar(Kheera),Cucumbar,FAQ,25/10/2025,2500,3500,3000
Punjab,Hoshiarpur,"GarhShankar (Kotfatuhi)",Banana,Other,Medium,25/10/2025,2500,3000,2700
Punjab,Jalandhar,Mehatpur,Cucumbar(Kheera),Other,FAQ,25/10/2025,2500,3000,3000
Punjab,Jalandhar,Mehatpur,Potato,Other,Non-FAQ,25/10/2025,1000,1000,1000
Punjab,Ludhiana,Sahnewal,Onion,Onion,FAQ,25/10/2025,1900,1900,1900
Punjab,Ludhiana,Sahnewal,Tomato,Tomato,FAQ,25/10/2025,3000,3000,3000
Punjab,Moga,"Kot ise Khan","Bhindi(Ladies Finger)",Other,FAQ,25/10/2025,1000,1200,1100
Punjab,Mohali,Lalru,Onion,Other,Non-FAQ,25/10/2025,1000,2000,2000
Punjab,Muktsar,Bariwala,Paddy(Dhan)(Common),Paddy,FAQ,25/10/2025,2389,2389,2389
Punjab,Patiala,Ghanaur,Onion,Other,FAQ,25/10/2025,1300,1500,1400
Punjab,Patiala,Ghanaur,Potato,Other,FAQ,25/10/2025,1100,1300,1200
Punjab,Sangrur,"Lehra Gaga",Cucumbar(Kheera),Other,FAQ,25/10/2025,3000,3000,3000
Punjab,Tarntaran,Tarantaran,Cauliflower,Other,FAQ,25/10/2025,4000,6000,5000
Rajasthan,"Jaipur Rural",Bassi,Potato,Other,Non-FAQ,25/10/2025,2500,3000,2750
Rajasthan,Jalore,Jalore,Lemon,Other,FAQ,25/10/2025,1200,1800,1400
Rajasthan,Jalore,Jalore,Tomato,Other,FAQ,25/10/2025,1500,2000,1800
Rajasthan,Pali,Rani,Cotton,Other,FAQ,25/10/2025,7400,7451,7425
Rajasthan,Sikar,Sikar,Cucumbar(Kheera),Cucumbar,FAQ,25/10/2025,1000,2400,1700
Telangana,Khammam,Charla,"Dry Chillies","Dry Chillies",FAQ,25/10/2025,16200,16400,16300
Telangana,Khammam,Kallur,Paddy(Dhan)(Common),Paddy,FAQ,25/10/2025,2320,2320,2320
Telangana,Nalgonda,Kodad,Paddy(Dhan)(Common),"B P T",FAQ,25/10/2025,2300,2300,2300
Telangana,Nalgonda,Miryalaguda,Paddy(Dhan)(Common),"Samba Masuri",FAQ,25/10/2025,2320,2320,2320
Tripura,"North Tripura",Dasda,Rice,Masuri,FAQ,25/10/2025,3300,3400,3350
"Uttar Pradesh",Aligarh,Charra,Brinjal,Brinjal,FAQ,25/10/2025,2800,2900,2850
